oracle,nasdaq,capex,europe,oil
-0.0025098438480080755,-0.005029818809150544,0.001879238495939406,-0.003599543543137851,-0.00015378530796217316
-0.016030769357956443,0.00443924185797262,0.0019540624966399188,0.010066329570936006,0.011388085957840577
-0.029153436631576678,0.00476248635752885,-0.0017944282171126424,0.0013000531101392543,-0.03454048106512475
-0.02150083534599658,0.003048068549381,0.009050047408506855,0.004196566616383013,-0.017021305249305896
-0.012553078790569971,0.004199044555106113,0.011394030186637271,0.009267698204330488,-0.009459678734839105
-0.0016054618208718007,0.003906394171239613,0.012342746401182492,0.01157456861655115,-0.021042396612934056
0.0019689707649359622,-0.002781512623722282,0.010435286913892217,0.001045005461133064,0.006613781893294535
0.006272176443587285,0.007074475413767267,0.004110037358140995,-0.004067750513145008,0.013304821688282953
0.002305961521880051,-0.006682623688557987,-0.0016309917210229896,-0.002682687552390428,0.0006484181620654006
-0.00013059714663750112,0.01119086636200639,0.002060565738374165,0.006432544868985923,0.013283649779766593
0.006157737137201425,-0.0008136826846035783,0.003957381942009142,-0.0042780667321369314,-0.01662671348061584
0.005292141159810915,-0.035622771843095036,-0.004470998142095728,-0.01675215150019349,-0.0424320739209092
0.011757299991037118,0.02207576120615018,0.0033806910983356308,0.00666569975326059,0.010016980259816455
0.0109481588418894,-0.007618996801966316,-0.0048845305283195415,-0.002898632569756421,-0.013279557795226826
0.0109494923035377,0.006588350991361569,-0.009505747816544785,0.009542418085662696,-0.007325388408636391
0.010999113813134832,-0.004743742203573875,-0.010962920085240625,0.008381753937002578,-0.013900830048527935
-0.00016635194711442925,0.005204717443356266,0.00036122482425660074,-0.007894471304282336,0.0013923047742669947
-0.020141832195286268,0.01369350796084623,-0.005906322756658344,0.013114842604037724,-0.00034759223923253035
-0.01575609668300737,-0.0016036657742026783,0.0012771789055279203,0.0010385451257439726,0.005215563885136554
-0.020656314240764907,-0.009291304265325873,0.0005278401626976681,-0.00837375418876607,0.011760641798077565
-0.021399754008160764,0.008856501520000837,0.0004114029452722878,0.005163864688354058,0.05623933188935637
-0.005212365151745213,0.011466770280299965,0.0033618453961934414,0.001088490223745131,-0.004693330817777452
0.0031263002316144427,0.018642285558837957,0.00961079745819049,0.006442868727420947,-0.0030894085643736746
0.004185909968204005,0.008039327801639073,0.02119544803709037,-0.0011749063866703935,-0.018920238483593477
0.002057507882836962,0.005497031683221021,0.028146164225331206,0.00025593817218538817,0.005486251171838097
-0.016752329867862348,-0.01574933904590925,0.022051628396800037,-0.0011619529469815149,0.001488097772306407
-0.014627047713750873,0.006098954871908369,0.01715581519452858,-0.006516750755938161,0.0067690250863108314
-0.016889826627478732,0.004626341257806255,0.01587599631290355,0.0030395335989799044,0.0011479123540454328
-0.02399294057532453,-0.020393781164017133,-0.0020056083618330335,-0.003354281760355682,-0.008026173135020742
-0.01833000058028387,0.006474045263609396,-0.011487738790156543,0.0015776275028920317,-0.01585209506935903
-0.010157052867731498,-0.018970822392277542,-0.01478380769287766,-0.010221975546360285,-0.0028523183439195243
-0.01833467797275352,-0.0021450157379379053,-0.014315077064181248,-0.007957397414846579,0.005384480787161472
-0.013397151518914675,0.022718597314864253,-0.007064586497537428,0.01759267974140566,0.006359850512388965
-0.009775470516843531,-0.0025021768797727217,-0.0050650677513990995,0.010811310309776445,0.015133873794235697
-0.01925787125397842,-0.0026350371220488222,-0.0008994704639662787,0.010760232142732251,-0.04177587154019646
-0.022356245960575883,-0.022903999196268954,-0.0007565472710423071,-0.007692696448005409,0.0034193356557179477
-0.013778256358705466,0.0013218187022914218,0.002711770389009982,-0.008535924036542464,0.023854175475168438
-0.017774078415522566,-0.008406749894371957,-0.012629252126828394,-0.009278576047816789,-0.0029955118109286083
-0.01331442333301005,-0.012119951159984765,-0.012327428623338266,-0.018831964454893213,0.01385414510380012
-0.0009850021196471602,0.005856628188694035,-0.007299754769031885,0.0013261478563109108,-0.021402749684458433
-0.005845193252837166,-0.02154647765069262,-0.006442679175793886,0.005028846396134323,-0.005047093606858621
-0.022023512608039076,0.008833628421609951,-0.011934048364096127,-0.009843961653678956,-0.018261718422446616
-0.017810598585328852,0.026890294714480234,-0.004076211847505218,0.0024623493922568684,0.013434356886799836
-0.021629142391131163,0.00671476095449286,-0.003642073475267926,0.008182842349839126,-0.015125754373562672
-0.01815123747902623,0.008212584809258683,-0.006588075965708517,0.014652177660851473,0.012079391781252946
-0.007928297186166944,0.006504502259437883,-0.0039001113800003484,0.0026533785835725077,-0.001705068818697919
0.002396159276604326,-0.0038419380446740314,0.0013479545082329292,-0.00012172207533645008,0.013151160850507493
0.0010259428614299627,0.005918133438435724,-0.0010434939376730234,0.0032977516410572782,-0.011463255372118786
0.010865109046582245,0.0017263385880927906,0.0020775976937865035,0.0014755339418319746,0.005286517334884833
0.009169976651798573,0.0021766259782449726,0.003565362945420314,0.00413026103671621,0.012213696296650589
0.015139845517500028,0.0031052881384325826,0.0061244412273645295,0.001023087745593232,0.0068711861017412
0.01886093190931537,-0.0013669645376993556,0.006267785992416152,0.00028995251824914803,-0.019973380931542994
0.01959946898358087,0.0012991579528713881,0.0039307488938551405,-0.0012697415863949235,-0.010699746207314398
0.014341906573876928,0.003293965958375278,0.004705110032608695,-0.0017836895005507447,0.0036051344973846433
-0.013679692535081079,-0.002548855681956619,-0.0026285415329465158,0.008030637549474973,-0.014710924115973634
-0.02564374189864276,-0.01689801769130872,-0.008103520636438067,-0.005778629018228787,-0.0027777752022684066
-0.03368121924694156,-0.005939157423247909,-0.010095056955300441,0.005560508889798088,-0.010793853529036723
-0.03054484102784514,0.002344182667685546,-0.007847548519609804,-0.006030390383426565,-0.027279113787143094
-0.04268406681052024,-0.01809234933831194,-0.014190826021131753,-0.006324104731328051,0.012122275436876606
-0.019257387807794492,0.013794326180095018,-0.00734529465764866,0.010567322616074515,0.003754074085186909
0.002938420720276369,0.013094630085295655,0.007054851300533671,0.003246443454226089,0.009082783751985346
0.014933200607233067,0.005200485590942661,0.008587172015048794,-0.0028922124467363197,0.023826305643429135
0.007834182820740198,0.0056771834180993075,0.012974975075476736,0.000973214746447626,0.006378258184584151
0.016000757545702717,-0.005033251330520905,0.018180138404086676,0.00042269221051371986,0.023616498289537935
0.0161145413615718,-0.002354464859291694,0.013713592368028937,0.007738612379368792,-0.002238310330867188
-0.00033832044156061335,0.006894129713735264,0.005073241313851784,0.02199187088096788,0.017445917748152073
-0.005811817310826672,0.00646908752731945,0.00115409767065211,0.0013674074329297348,-0.020404640482441505
-0.003686342062899239,0.0015759590270558732,-0.0028586173452632923,-0.0013857899200102608,-0.01995447870356648
-0.004358292879759129,-0.004420731467457473,-0.0047381735954444395,-0.003249729567007975,0.03161272709422214
0.0036759218464736732,0.008148633687052653,-0.004210171117374384,0.01577665055387234,0.023545717622442286
0.013070236581689288,0.002642467889757638,-0.0033505071372573526,0.003139588721449149,0.006427623054476861
0.009530242134115107,-0.0010125284763347064,-0.0014741013520094936,0.002248936036558291,0.02773111808199835
0.001887872251972289,-0.010043039006782273,-0.006345435744453076,-0.004109613889021202,0.01422729207155582
0.0013122285728678572,0.0024825388498939116,0.0022289121297261348,0.006009997119936994,-0.045630470979792226
-0.007288979440048094,-0.0006217124567436949,0.0015466737493591066,-0.0019350554931174546,0.004223686531514614
-0.025185716079565414,-0.023859706242919332,-0.007303229180810477,-0.00569368409681581,0.015141344997853023
-0.02956445160520591,0.01178427399798454,-0.002347502844098193,-0.0015614511667376707,0.004640350987550779
-0.016036793925335434,0.00909368580287051,0.0021846865893500045,0.012458190634934585,-0.020785192077436232
-0.01329760007349996,0.0027829257881455405,0.0009768210779483421,-0.0013380623231096234,0.028807261908526005
-0.00864317220871238,0.0042601641286383884,0.000574789382483365,0.001613867902859889,-0.007204824445844471
-0.005218088044952695,0.009141008826954566,0.01153687002579602,0.006175104949574628,0.02902850553401648
-0.0009053621137326661,0.0016941445447504755,0.008822998458168696,-0.010240842165624597,0.013143127149321199
-0.010237871549198464,-0.007223323690009664,0.008198534807415215,-0.006952403195932821,0.034962808360734954
-0.014335259050526017,-0.009427811057196478,0.003702744905674993,0.00948070866683337,-0.0032100136097579224
-0.02578874563322986,0.005553237590460336,-0.0007946007958606005,0.01003725849398851,-0.04707866489688739
-0.02425797890184702,-0.01428104272151376,-0.00867192632220697,-0.0020240779363068784,0.017219177749178805
-0.03220122183911085,-0.015076607984928048,-0.01867506357236559,-0.004149863211862503,0.03053314876016011
-0.04170978020198157,-0.01589159168749088,-0.022361156962284356,-0.007498575140688746,-0.028400345278711825
-0.027176739488815826,0.021766116022293724,-0.005183937138791728,0.01226854289536261,0.004108047365652956
-0.0024009676743728557,0.00900773237403718,0.005586566466749843,0.010104338534942858,0.01274589115681124
0.008548838579759521,-0.005860887013236171,0.009686535404866903,-0.001972221120857931,-0.006215064047320307
0.015478600967780731,-0.0015582748902752686,0.018108774407015193,-0.001888508095561403,0.010475268582484487
0.02850837299740381,-0.020346429175938763,0.017488227239033427,-0.00403438526894806,-0.02769607267367502
0.02389553606160739,-0.0022339307336266545,-0.002673842635514334,-0.0043351856963158575,0.0007956594038691644
-0.0030932163529501454,0.001406457699069552,-0.005305067776975458,0.007187000857347359,-0.008904397583535784
-0.004450353317290867,0.007761849757584871,-0.0004718770539974271,0.013537371108420349,0.04588481511846543
-0.0005616745809375656,-0.0031160033782383634,-0.0021587811415757054,-0.00716817088919397,0.01902128880703846
-0.01050503288792166,0.008964522328127167,0.003157694293614388,0.01183076496873281,-0.0006021513675084078
-0.024326663568905182,-0.011308222762413167,0.009399000765748844,-0.0028362840163947967,-0.0012050283444823284
-0.009784871403546069,0.01044801963062758,0.008393238096739286,0.00043837273230562523,-0.010254868499654402
-0.010247603225247537,0.012613909684129787,0.00794912696367207,0.009273080740431983,-0.0031997423931283686
-0.0074487393633209335,-0.011821798206745227,-0.002878015434119874,-0.0019049338054485387,-0.0032100136097579224
-0.003173180608147752,-0.00918639842420832,-0.013250929235255882,-0.003757149508177182,0.027756442018180172
0.011266275672819126,0.0035577769115684443,-0.009102726681855744,-0.024677396363701143,0.06281717285497268
0.00410862331100772,-0.010205782982251166,-0.013123379456390149,-0.03594499835375442,0.046749881296137996
0.0062234249983967645,0.012914465789047869,-0.012612539723702932,0.017185478485983285,0.0013412836211137424
0.006127200784440246,-0.0025645197616256388,-0.0013724899530485723,-0.014994206415293032,0.0850522121973023
0.010295893972766002,-0.015882487229215148,0.0009351755751392466,-0.010892517908137389,0.12208368261757263
0.003169593630506018,0.01376960612055389,0.0003966428260505195,-0.006066488509183787,0.04257420299476822
0.0006408478587250688,5.0687046129427316e-05,0.00538135056493716,0.026730760807297527,-0.11944708342091537
0.014497885347891648,0.0008384881913343634,0.0034347959400303552,-0.007279168957291859,0.045536287486201754
0.0064660984357680865,-0.0177913392525737,-3.078436998649181e-08,-0.00790208219840649,0.09719201555224743
0.003741352904746598,-0.009260544757082045,0.002865511236176377,-0.005615044412020098,0.031129171869220817
0.0066807999757196425,0.012160865966468926,0.0007284887579080968,0.003918389199100147,-0.0527808644797384
0.007889821443296308,0.0047084477608292374,-0.003001063613702737,0.005269242536600993,0.018181785542697115
